@relation asd.arff

@attribute parens numeric
@attribute avg_tok_lens numeric
@attribute wh_words numeric
@attribute slangs numeric
@attribute numSents numeric
@attribute commas numeric
@attribute prop_nouns numeric
@attribute comm_nouns numeric
@attribute avg_sent_lens numeric
@attribute third_person_prns numeric
@attribute conjs numeric
@attribute caps numeric
@attribute sec_person_prns numeric
@attribute adverbs numeric
@attribute ellipses numeric
@attribute cols_semicols numeric
@attribute future_verbs numeric
@attribute past_verbs numeric
@attribute dashes numeric
@attribute first_person_prns numeric
@attribute twit {nytimes_out.twt,TheOnion_out.twt,Reuters_out.twt,CBCNews_out.twt,torontostarnews_out.twt}

@data
0,4.58333333333,0,0,1,1,1,7,14.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.5,0,0,1,0,3,3,11.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.5,0,0,1,1,1,4,10.0,0,0,1,0,1,0,0,0,1,0,0,torontostarnews_out.twt
0,5.5,0,0,1,1,0,3,12.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.33333333333,0,0,1,0,2,6,10.0,0,0,1,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.0,0,0,1,0,0,5,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.09090909091,0,0,1,0,2,5,13.0,1,0,1,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.81818181818,0,0,1,0,3,4,13.0,0,0,0,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,4.625,0,0,1,1,2,3,10.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,5.375,0,0,1,0,1,5,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.75,0,0,2,1,1,7,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.22222222222,0,0,5,0,4,13,5.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,4.83333333333,0,0,1,0,1,3,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,7.0,0,0,1,0,0,5,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.66666666667,0,0,1,0,0,6,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.27272727273,0,0,1,0,0,8,12.0,0,0,0,0,0,0,0,0,0,0,1,torontostarnews_out.twt
0,5.2,0,0,1,0,2,4,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.7,0,0,1,0,1,5,11.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,1,0,1,0,2,5,12.0,0,0,1,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.33333333333,0,0,1,0,0,5,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.45454545455,0,0,1,0,0,8,13.0,0,0,1,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,6.25,0,0,1,1,2,6,14.0,0,0,1,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,4.33333333333,0,0,1,1,2,3,11.0,1,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.16666666667,0,0,1,0,1,2,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.53846153846,0,0,1,0,2,6,14.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.41666666667,0,0,1,0,0,4,15.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,5.83333333333,0,0,1,0,0,5,13.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.81818181818,0,0,1,0,2,5,12.0,0,0,1,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.28571428571,0,0,2,0,3,3,4.5,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.57142857143,0,0,1,0,3,2,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.22222222222,0,0,1,1,1,1,12.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,4.91666666667,0,0,1,0,2,5,13.0,1,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.5,0,0,1,0,2,3,11.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,5.33333333333,0,0,1,0,3,2,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.22222222222,0,0,1,0,1,4,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.9,0,0,1,0,0,6,11.0,0,0,1,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.4,0,0,1,0,0,5,11.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,4.6,0,0,1,0,1,3,11.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,6.0,0,0,1,0,1,5,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.41666666667,0,0,1,0,0,6,13.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.2,0,0,1,0,0,6,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.75,0,0,1,0,1,5,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,1,6,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.5,0,0,1,1,1,4,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.70588235294,0,0,1,0,3,5,18.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.375,0,0,1,0,0,2,9.0,0,0,0,0,1,0,0,0,1,0,0,torontostarnews_out.twt
0,4.83333333333,0,0,2,0,1,8,7.5,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,4.91666666667,0,0,1,0,5,2,14.0,0,0,0,0,1,1,1,0,0,0,0,torontostarnews_out.twt
0,4.36363636364,0,0,1,0,2,3,13.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,4.38095238095,1,0,1,1,2,6,23.0,0,0,0,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,5.83333333333,0,0,1,0,2,1,6.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.875,0,0,1,0,1,3,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,1,5,12.0,0,0,0,0,1,1,1,0,0,0,0,torontostarnews_out.twt
0,4.0,0,0,2,0,5,5,7.5,0,0,1,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,6.2,1,0,1,1,3,3,13.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.375,0,0,1,0,1,4,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.6,0,0,1,1,1,3,12.0,0,0,0,0,2,0,0,0,0,0,0,torontostarnews_out.twt
0,4.0,0,0,1,0,1,3,15.0,0,0,0,0,1,0,0,0,1,0,0,torontostarnews_out.twt
0,5.36363636364,0,0,1,2,3,4,13.0,0,0,1,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.55555555556,0,0,1,0,3,2,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.57142857143,0,0,1,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.8,0,0,1,0,1,7,11.0,0,0,1,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.55555555556,0,0,1,0,1,4,11.0,0,0,0,0,1,1,1,0,0,0,0,torontostarnews_out.twt
0,5.28571428571,0,0,1,0,0,3,8.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,4.5,0,0,3,1,3,7,6.66666666667,1,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.375,0,0,1,0,1,4,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.33333333333,0,0,1,0,0,4,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.4,0,0,1,1,1,6,12.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,3.8,1,0,1,0,0,4,11.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,5.16666666667,0,0,1,0,2,4,13.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.85714285714,0,0,1,0,3,2,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.1,0,0,1,0,1,5,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,0,7,10.0,0,0,1,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.875,0,0,1,0,1,3,9.0,1,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,3.33333333333,0,0,2,0,1,3,7.5,0,0,0,0,0,1,1,1,0,0,0,torontostarnews_out.twt
0,3.16666666667,1,0,1,1,1,3,20.0,1,0,0,0,2,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,1,0,6,13.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.08333333333,0,0,1,0,3,4,13.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,0,3,9.0,0,0,1,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,4.8,0,0,1,0,0,5,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.6,0,0,1,1,0,7,12.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.23076923077,0,0,1,0,3,4,15.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,6.0,0,0,1,1,1,5,14.0,0,0,0,0,1,1,1,0,1,0,0,torontostarnews_out.twt
0,5.42857142857,0,0,1,0,0,4,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.77777777778,0,0,1,0,1,4,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.75,0,0,1,0,1,5,9.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,4.83333333333,0,0,1,0,1,3,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.44444444444,0,0,1,0,0,7,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,7.16666666667,0,0,1,0,0,2,6.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.11111111111,0,0,1,1,1,6,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.88888888889,0,0,1,0,1,3,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.55555555556,0,0,1,0,0,3,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.4,0,0,1,0,3,5,12.0,0,0,0,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,5.25,0,0,1,0,2,4,14.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,4.07142857143,0,0,1,1,2,5,16.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,6.4,0,0,1,0,1,4,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.81818181818,0,0,1,1,0,5,13.0,1,0,0,0,0,0,0,0,3,0,0,torontostarnews_out.twt
0,4.3,0,0,1,0,4,4,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.38461538462,0,0,1,1,3,3,15.0,0,0,1,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,5.5,0,0,1,0,1,5,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.33333333333,0,0,1,0,1,3,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.88888888889,0,0,1,0,0,5,10.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,6.4,0,0,1,0,1,2,7.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,4.18181818182,0,0,1,0,4,6,12.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.0,0,0,1,1,3,2,14.0,0,0,1,0,0,1,1,1,0,0,1,torontostarnews_out.twt
0,5.0,0,0,1,0,0,4,11.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.5,0,0,1,0,0,5,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.7,0,0,1,0,3,6,21.0,0,0,2,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.4,0,0,1,0,1,6,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,3.66666666667,0,0,1,0,2,2,11.0,0,0,0,0,1,1,1,0,0,0,0,torontostarnews_out.twt
0,4.91666666667,0,0,1,1,2,5,14.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.3,0,0,1,0,0,7,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.6,0,0,1,1,1,4,12.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.18181818182,0,0,1,0,1,6,13.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,6.6,0,0,1,0,1,4,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.77777777778,0,0,1,0,1,2,12.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,4.31578947368,0,0,1,0,2,21,39.0,0,0,0,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,3.125,0,0,1,0,0,10,17.0,1,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.1,0,0,1,1,1,5,12.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.16666666667,0,0,1,1,2,2,8.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.66666666667,0,0,1,0,2,1,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.7,0,0,1,0,2,2,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.5,0,0,1,0,0,4,8.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,6.18181818182,0,0,1,1,3,4,13.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.21428571429,0,0,1,0,4,5,16.0,1,0,1,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,1,3,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.88888888889,0,0,2,0,3,5,5.5,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.85714285714,0,0,1,0,0,4,8.0,1,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,7.33333333333,0,0,1,0,1,3,7.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,5.15789473684,0,0,4,1,3,13,6.25,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.8,0,0,1,0,1,6,12.0,0,0,1,0,1,1,1,0,0,0,0,torontostarnews_out.twt
0,6.0,0,0,1,0,1,4,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,3.09523809524,0,0,1,0,1,7,22.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.72727272727,0,0,1,0,2,7,12.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.66666666667,0,0,1,0,3,2,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.90909090909,0,0,1,0,2,2,11.0,0,0,1,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,5.33333333333,0,0,1,0,2,2,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.52941176471,0,0,1,0,1,9,18.0,0,0,1,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,6.0,0,0,1,0,2,1,13.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.55555555556,0,0,2,0,6,3,6.5,0,0,0,0,0,2,1,0,0,0,0,torontostarnews_out.twt
0,5.5,0,0,1,0,1,3,9.0,0,0,1,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.16666666667,0,0,1,0,1,3,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.61904761905,0,0,1,0,7,7,22.0,0,0,0,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,5.7,0,0,1,0,2,4,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.07142857143,0,0,1,0,3,3,16.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,6.28571428571,0,0,2,0,1,5,5.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.71428571429,0,0,1,0,1,3,9.0,1,0,1,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,4.63636363636,0,0,3,2,2,10,5.66666666667,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,4.0,0,0,2,0,0,6,7.0,0,0,0,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,5.375,0,0,1,0,2,1,8.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.77777777778,0,0,1,0,1,4,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.3,0,0,2,0,1,6,7.0,0,0,0,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,6.0,0,0,1,0,1,4,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.66666666667,0,0,1,0,1,2,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.8,0,0,1,1,1,4,12.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,3.77777777778,0,0,1,2,6,1,21.0,1,0,0,0,1,0,0,0,1,0,0,torontostarnews_out.twt
0,6.1,0,0,1,0,2,4,12.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.54545454545,0,0,1,0,1,4,12.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.5,0,0,1,0,2,4,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.91666666667,0,0,1,0,1,6,13.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.33333333333,0,0,1,0,2,3,9.0,0,0,1,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.66666666667,0,0,1,0,1,2,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.71428571429,0,0,1,0,1,2,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,1,2,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,7.0,0,0,1,0,1,3,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,2,3,9.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,4.42857142857,0,0,1,0,2,1,15.0,1,0,0,0,1,0,0,0,1,0,0,torontostarnews_out.twt
0,5.57142857143,0,0,1,0,2,3,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.42857142857,0,0,2,0,0,4,4.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.625,0,0,1,0,0,5,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.77777777778,0,0,1,0,1,4,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.57142857143,0,0,1,0,2,2,8.0,1,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,4.81818181818,0,0,1,0,1,3,12.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.14285714286,0,0,1,0,2,4,16.0,0,0,0,0,1,1,1,0,0,0,0,torontostarnews_out.twt
0,4.7,0,0,1,0,0,5,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.5,0,0,1,0,3,1,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.33333333333,0,0,2,0,2,5,5.5,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.5,0,0,1,0,0,2,7.0,0,0,0,0,0,0,0,0,2,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,1,2,6.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.22222222222,0,0,1,1,3,3,12.0,0,0,1,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,6.42857142857,0,0,1,0,3,3,9.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.83333333333,0,0,2,0,4,5,7.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,7.875,0,0,1,0,1,3,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,3.91666666667,0,0,1,0,2,5,13.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.5,0,0,1,0,1,4,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.3,0,0,1,0,1,4,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.625,0,0,1,0,2,3,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.0,0,0,1,0,1,5,17.0,0,0,0,0,2,1,1,0,0,0,0,torontostarnews_out.twt
0,4.47619047619,0,0,1,0,3,3,23.0,0,0,0,2,1,1,1,0,0,0,0,torontostarnews_out.twt
0,4.63636363636,0,0,1,0,4,3,13.0,0,0,1,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,6.28571428571,0,0,1,0,0,4,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.0,0,0,1,0,1,4,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.0,0,0,1,0,0,3,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.75,0,0,1,0,2,3,9.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,5.85714285714,0,0,1,1,1,4,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.6,0,0,1,1,1,4,12.0,0,0,0,0,0,0,0,0,0,0,1,torontostarnews_out.twt
0,4.85714285714,0,0,1,0,1,4,8.0,0,0,1,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.44444444444,0,0,2,1,2,5,6.5,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.11111111111,0,0,1,0,2,3,11.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.28571428571,0,0,1,0,2,4,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,2,3,6,17.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.23076923077,0,0,1,0,1,7,15.0,0,0,0,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,5.4,0,0,1,1,1,5,12.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.63636363636,0,0,1,0,2,4,12.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,4.7,0,0,1,1,1,4,12.0,0,0,0,0,2,0,0,0,0,0,0,torontostarnews_out.twt
0,6.42857142857,0,0,1,0,1,4,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.44444444444,0,0,1,0,0,3,10.0,2,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.625,0,0,1,0,2,4,9.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.9,0,0,1,0,2,5,12.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.77777777778,0,0,1,1,2,3,11.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,4.9,0,0,1,0,1,4,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,3.46153846154,0,0,2,0,0,6,8.0,1,0,0,0,2,0,0,0,0,0,0,torontostarnews_out.twt
0,5.3,1,0,1,0,0,5,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.07692307692,0,0,1,0,1,7,14.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.33333333333,0,0,1,0,2,2,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,6.625,0,0,1,2,0,4,11.0,0,0,0,0,1,0,0,0,0,0,0,torontostarnews_out.twt
0,6.4,0,0,1,0,3,5,12.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,4.28571428571,0,0,1,0,0,3,8.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.46153846154,0,0,1,0,1,4,14.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,1,5,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.30769230769,0,0,1,0,5,4,16.0,0,0,2,0,1,2,1,0,0,0,0,torontostarnews_out.twt
0,5.07692307692,0,0,1,0,1,7,14.0,0,0,0,0,2,0,0,0,1,0,0,torontostarnews_out.twt
0,5.63636363636,0,0,1,0,0,7,12.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,3.84210526316,0,0,1,1,1,10,21.0,0,0,0,0,1,0,0,0,1,0,0,torontostarnews_out.twt
0,5.8,0,0,1,0,0,5,11.0,0,0,0,0,2,0,0,0,0,0,0,torontostarnews_out.twt
0,6.36363636364,0,0,1,0,1,6,12.0,0,0,1,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.875,0,0,1,0,1,4,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.5,1,0,1,0,0,14,25.0,0,0,0,0,0,1,1,0,1,0,0,torontostarnews_out.twt
0,4.8,0,0,1,0,1,3,11.0,1,0,2,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.35714285714,0,0,1,0,1,5,15.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.22222222222,0,0,1,0,4,2,10.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.44444444444,0,0,1,1,2,2,11.0,0,0,1,0,1,1,1,0,0,0,0,torontostarnews_out.twt
0,5.0,0,0,1,0,2,2,9.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,5.4,0,0,1,0,0,6,11.0,0,0,0,0,0,0,0,0,0,0,0,torontostarnews_out.twt
0,4.84615384615,0,0,1,0,3,6,15.0,0,0,0,0,0,1,1,0,0,0,0,torontostarnews_out.twt
0,5.5,1,0,1,0,1,5,11.0,0,0,0,0,0,0,0,0,1,0,0,torontostarnews_out.twt
0,5.16666666667,0,0,1,2,2,3,14.0,0,0,0,0,1,0,0,0,1,0,0,torontostarnews_out.twt
